date,available_cash,frozen_cash,positions_value,total_value,positions
2025-04-14,-2837.8799999991315,-2.3283064365386963e-10,1600492.0,1597654.120000001,"{'000062.XSHE': {'total_amount': 20400, 'avg_cost': 24.02, 'price': np.float64(25.51)}, '002427.XSHE': {'total_amount': 97900, 'avg_cost': 5.71, 'price': np.float64(5.65)}, '001270.XSHE': {'total_amount': 16100, 'avg_cost': 33.12, 'price': np.float64(32.73)}}"
2025-04-15,1046693.9600000009,-2.3283064365386963e-10,535003.0,1581696.960000001,"{'001270.XSHE': {'total_amount': 16100, 'avg_cost': 33.12, 'price': np.float64(33.23)}}"
2025-04-16,1554310.200000001,-2.3283064365386963e-10,0.0,1554310.200000001,{}
2025-04-17,1554310.200000001,-2.3283064365386963e-10,0.0,1554310.200000001,{}
2025-04-18,776927.0600000009,-2.3283064365386963e-10,885950.9999999999,1662878.0600000008,"{'603002.XSHG': {'total_amount': 141300, 'avg_cost': 5.5, 'price': np.float64(6.27)}}"
2025-04-21,1673015.6300000008,-2.3283064365386963e-10,0.0,1673015.6300000008,{}
2025-04-22,1153377.7900000007,-2.3283064365386963e-10,512730.0,1666107.7900000007,"{'002182.XSHE': {'total_amount': 42200, 'avg_cost': 12.31, 'price': np.float64(12.15)}}"
2025-04-23,1153377.7900000007,-2.3283064365386963e-10,516528.0,1669905.7900000007,"{'002182.XSHE': {'total_amount': 42200, 'avg_cost': 12.31, 'price': np.float64(12.24)}}"
2025-04-24,1153377.7900000007,-2.3283064365386963e-10,502180.0,1655557.7900000007,"{'002182.XSHE': {'total_amount': 42200, 'avg_cost': 12.31, 'price': np.float64(11.9)}}"
2025-04-25,1153377.7900000007,-2.3283064365386963e-10,516528.0,1669905.7900000007,"{'002182.XSHE': {'total_amount': 42200, 'avg_cost': 12.31, 'price': np.float64(12.24)}}"
2025-04-28,1662491.0800000008,-2.3283064365386963e-10,0.0,1662491.0800000008,{}
2025-04-29,1163231.3500000008,-2.3283064365386963e-10,468325.0,1631556.3500000008,"{'600116.XSHG': {'total_amount': 65500, 'avg_cost': 7.62, 'price': np.float64(7.15)}}"
2025-04-30,1163231.3500000008,-2.3283064365386963e-10,480770.0,1644001.3500000008,"{'600116.XSHG': {'total_amount': 65500, 'avg_cost': 7.62, 'price': np.float64(7.34)}}"
2025-05-06,1630947.5300000007,-2.3283064365386963e-10,0.0,1630947.5300000007,{}
2025-05-07,1128056.710000001,-2.3283064365386963e-10,496860.0,1624916.710000001,"{'600392.XSHG': {'total_amount': 42000, 'avg_cost': 11.97, 'price': np.float64(11.83)}}"
2025-05-08,1633079.3300000008,-2.3283064365386963e-10,0.0,1633079.3300000008,{}
2025-05-09,1633079.3300000008,-2.3283064365386963e-10,0.0,1633079.3300000008,{}
2025-05-12,1128508.0000000007,-2.3283064365386963e-10,507149.99999999994,1635658.0000000007,"{'002074.XSHE': {'total_amount': 21000, 'avg_cost': 24.02, 'price': np.float64(24.15)}}"
2025-05-13,1128508.0000000007,-2.3283064365386963e-10,502530.0,1631038.0000000007,"{'002074.XSHE': {'total_amount': 21000, 'avg_cost': 24.02, 'price': np.float64(23.93)}}"
2025-05-14,1128508.0000000007,-2.3283064365386963e-10,500429.99999999994,1628938.0000000007,"{'002074.XSHE': {'total_amount': 21000, 'avg_cost': 24.02, 'price': np.float64(23.83)}}"
2025-05-15,1614864.9100000006,-2.3283064365386963e-10,0.0,1614864.9100000006,{}
2025-05-16,1101977.0900000005,-2.3283064365386963e-10,502516.0,1604493.0900000005,"{'002626.XSHE': {'total_amount': 26200, 'avg_cost': 19.57, 'price': np.float64(19.18)}}"
2025-05-19,1101977.0900000005,-2.3283064365386963e-10,491512.00000000006,1593489.0900000005,"{'002626.XSHE': {'total_amount': 26200, 'avg_cost': 19.57, 'price': np.float64(18.76)}}"
2025-05-20,1101977.0900000005,-2.3283064365386963e-10,501206.0,1603183.0900000005,"{'002626.XSHE': {'total_amount': 26200, 'avg_cost': 19.57, 'price': np.float64(19.13)}}"
2025-05-21,1101977.0900000005,-2.3283064365386963e-10,490463.99999999994,1592441.0900000005,"{'002626.XSHE': {'total_amount': 26200, 'avg_cost': 19.57, 'price': np.float64(18.72)}}"
2025-05-22,1583953.7100000007,-2.3283064365386963e-10,0.0,1583953.7100000007,{}
2025-05-23,1583953.7100000007,-2.3283064365386963e-10,0.0,1583953.7100000007,{}
2025-05-26,1583953.7100000007,-2.3283064365386963e-10,0.0,1583953.7100000007,{}
2025-05-27,1583953.7100000007,-2.3283064365386963e-10,0.0,1583953.7100000007,{}
2025-05-28,1583953.7100000007,-2.3283064365386963e-10,0.0,1583953.7100000007,{}
2025-05-29,1583953.7100000007,-2.3283064365386963e-10,0.0,1583953.7100000007,{}
2025-05-30,1106585.5400000007,-2.3283064365386963e-10,451773.0,1558358.5400000007,"{'000981.XSHE': {'total_amount': 212100, 'avg_cost': 2.25, 'price': np.float64(2.13)}}"
2025-06-03,1106585.5400000007,-2.3283064365386963e-10,451773.0,1558358.5400000007,"{'000981.XSHE': {'total_amount': 212100, 'avg_cost': 2.25, 'price': np.float64(2.13)}}"
2025-06-04,1106585.5400000007,-2.3283064365386963e-10,453894.0,1560479.5400000007,"{'000981.XSHE': {'total_amount': 212100, 'avg_cost': 2.25, 'price': np.float64(2.14)}}"
2025-06-05,1557771.2400000007,-2.3283064365386963e-10,0.0,1557771.2400000007,{}
2025-06-06,133690.15000000078,-5.820766091346741e-11,1352591.0,1486281.1500000008,"{'600601.XSHG': {'total_amount': 99000, 'avg_cost': 4.72, 'price': np.float64(4.65)}, '002115.XSHE': {'total_amount': 47700, 'avg_cost': 8.62, 'price': np.float64(8.45)}, '600178.XSHG': {'total_amount': 37600, 'avg_cost': 14.5, 'price': np.float64(13.01)}}"
2025-06-09,1497888.3800000008,-5.820766091346741e-11,0.0,1497888.3800000008,{}
2025-06-10,1497888.3800000008,-5.820766091346741e-11,0.0,1497888.3800000008,{}
2025-06-11,1497888.3800000008,-5.820766091346741e-11,0.0,1497888.3800000008,{}
2025-06-12,1045652.7500000008,-5.820766091346741e-11,443058.0,1488710.750000001,"{'002426.XSHE': {'total_amount': 150700, 'avg_cost': 3.0, 'price': np.float64(2.94)}}"
2025-06-13,581381.7600000009,-1.1641532182693481e-10,880278.0,1461659.760000001,"{'000403.XSHE': {'total_amount': 21000, 'avg_cost': 18.9, 'price': np.float64(18.23)}, '002366.XSHE': {'total_amount': 65800, 'avg_cost': 7.47, 'price': np.float64(7.56)}}"
2025-06-16,1020645.370000001,-1.1641532182693481e-10,457098.0,1477743.370000001,"{'603619.XSHG': {'total_amount': 21300, 'avg_cost': 21.0, 'price': np.float64(21.46)}}"
2025-06-17,608571.2500000009,-5.820766091346741e-11,886892.0,1495463.250000001,"{'000766.XSHE': {'total_amount': 13800, 'avg_cost': 27.61, 'price': np.float64(26.32)}, '002104.XSHE': {'total_amount': 35600, 'avg_cost': 13.73, 'price': np.float64(14.71)}}"
2025-06-18,920578.0400000009,-1.1641532182693481e-10,617402.0,1537980.040000001,"{'603086.XSHG': {'total_amount': 19300, 'avg_cost': 10.43, 'price': np.float64(10.02)}, '002213.XSHE': {'total_amount': 12300, 'avg_cost': 16.41, 'price': np.float64(18.12)}, '000407.XSHE': {'total_amount': 56500, 'avg_cost': 3.67, 'price': np.float64(3.56)}}"
2025-06-19,628595.2000000009,-1.1641532182693481e-10,850940.0,1479535.200000001,"{'000525.XSHE': {'total_amount': 108400, 'avg_cost': 8.32, 'price': np.float64(7.85)}}"
2025-06-20,821608.0700000009,-5.093170329928398e-11,597048.0,1418656.0700000008,"{'603533.XSHG': {'total_amount': 20100, 'avg_cost': 23.0, 'price': np.float64(21.2)}, '603215.XSHG': {'total_amount': 2900, 'avg_cost': 21.05, 'price': np.float64(19.02)}, '002017.XSHE': {'total_amount': 3600, 'avg_cost': 16.61, 'price': np.float64(15.64)}, '002769.XSHE': {'total_amount': 6600, 'avg_cost': 9.33, 'price': np.float64(9.01)}}"
2025-06-23,992331.8400000009,-5.093170329928398e-11,431547.0,1423878.8400000008,"{'603533.XSHG': {'total_amount': 20100, 'avg_cost': 23.0, 'price': np.float64(21.47)}}"
2025-06-24,415787.12000000087,0.0,1006688.0,1422475.1200000008,"{'600470.XSHG': {'total_amount': 52800, 'avg_cost': 6.25, 'price': np.float64(6.25)}, '002250.XSHE': {'total_amount': 25500, 'avg_cost': 13.29, 'price': np.float64(13.48)}, '002449.XSHE': {'total_amount': 32900, 'avg_cost': 10.18, 'price': np.float64(10.12)}}"
2025-06-25,1063885.490000001,0.0,328944.0,1392829.490000001,"{'600470.XSHG': {'total_amount': 52800, 'avg_cost': 6.25, 'price': np.float64(6.23)}}"
2025-06-26,-8609.159999999043,1.1641532182693481e-10,1378425.0,1369815.840000001,"{'600470.XSHG': {'total_amount': 52800, 'avg_cost': 6.25, 'price': np.float64(6.15)}, '600590.XSHG': {'total_amount': 29400, 'avg_cost': 9.81, 'price': np.float64(9.73)}, '002074.XSHE': {'total_amount': 23700, 'avg_cost': 33.07, 'price': np.float64(32.39)}}"
2025-06-27,315688.700000001,1.1641532182693481e-10,1043283.0,1358971.7000000011,"{'600590.XSHG': {'total_amount': 29400, 'avg_cost': 9.81, 'price': np.float64(9.44)}, '002074.XSHE': {'total_amount': 23700, 'avg_cost': 33.07, 'price': np.float64(32.31)}}"
2025-06-30,552.1900000009919,1.1641532182693481e-10,1367396.0,1367948.1900000009,"{'600590.XSHG': {'total_amount': 29400, 'avg_cost': 9.81, 'price': np.float64(9.77)}, '002074.XSHE': {'total_amount': 23700, 'avg_cost': 33.07, 'price': np.float64(32.46)}, '605319.XSHG': {'total_amount': 9100, 'avg_cost': 34.62, 'price': np.float64(34.16)}}"
2025-07-01,758913.040000001,1.1641532182693481e-10,588287.0,1347200.040000001,"{'600590.XSHG': {'total_amount': 29400, 'avg_cost': 9.81, 'price': np.float64(9.52)}, '605319.XSHG': {'total_amount': 9100, 'avg_cost': 34.62, 'price': np.float64(33.89)}}"
2025-07-02,578284.4700000011,1.1641532182693481e-10,794615.9999999999,1372900.4700000011,"{'001298.XSHE': {'total_amount': 22600, 'avg_cost': 33.3, 'price': np.float64(35.16)}}"
2025-07-03,1344557.0200000012,1.1641532182693481e-10,0.0,1344557.0200000012,{}
2025-07-04,-12896.089999998861,0.0,1331542.0,1318645.910000001,"{'002866.XSHE': {'total_amount': 21800, 'avg_cost': 20.31, 'price': np.float64(19.9)}, '002987.XSHE': {'total_amount': 21100, 'avg_cost': 22.52, 'price': np.float64(23.3)}, '002724.XSHE': {'total_amount': 51600, 'avg_cost': 8.51, 'price': np.float64(7.87)}}"
2025-07-07,812359.6900000011,0.0,540793.0,1353152.690000001,"{'002987.XSHE': {'total_amount': 21100, 'avg_cost': 22.52, 'price': np.float64(25.63)}}"
2025-07-08,530212.450000001,0.0,814875.0,1345087.4500000011,"{'001896.XSHE': {'total_amount': 75300, 'avg_cost': 5.62, 'price': np.float64(5.59)}, '002908.XSHE': {'total_amount': 35300, 'avg_cost': 11.22, 'price': np.float64(11.16)}}"
