date,code,amount,avg_cost,price
2025-09-03,002642.XSHE,5000.0,9.41,9.71
2025-09-03,603088.XSHG,4500.0,10.21,9.7
2025-09-03,600961.XSHG,3200.0,15.04,14.89
2025-09-11,603328.XSHG,38000.0,12.29,12.08
2025-09-11,605268.XSHG,31200.0,11.02,11.06
2025-09-11,000892.XSHE,55800.0,6.21,6.1
2025-09-11,600689.XSHG,21900.0,15.81,15.46
2025-09-12,603328.XSHG,38000.0,12.29,12.17
2025-09-12,000892.XSHE,55800.0,6.21,6.1
2025-09-12,600689.XSHG,21900.0,15.81,15.06
2025-09-15,603328.XSHG,38000.0,12.29,11.97
2025-09-16,603328.XSHG,38000.0,12.29,12.1
2025-09-24,600416.XSHG,26300.0,16.41,15.86
2025-09-24,002298.XSHE,44300.0,11.19,12.54
2025-09-24,002475.XSHE,7700.0,64.23,70.2
2025-09-25,002298.XSHE,44300.0,11.19,13.79
2025-09-25,600637.XSHG,1000.0,10.07,9.87
2025-09-25,000685.XSHE,800.0,11.95,11.21
2025-09-26,600556.XSHG,83800.0,5.92,5.66
2025-09-26,603090.XSHG,2800.0,56.01,59.94
2025-09-26,002837.XSHE,1800.0,86.05,79.8
2025-09-26,002564.XSHE,17400.0,9.15,9.33
2025-09-29,600556.XSHG,83800.0,5.92,5.73
2025-09-29,002837.XSHE,1800.0,86.05,83.78
2025-09-29,002564.XSHE,17400.0,9.15,8.95
2025-09-30,600556.XSHG,83800.0,5.92,5.62
2025-09-30,002121.XSHE,82200.0,9.02,9.4
2025-10-09,002846.XSHE,8100.0,19.73,19.99
2025-10-09,002733.XSHE,7000.0,22.7,22.24
2025-10-10,002733.XSHE,7000.0,22.7,21.9
2025-10-10,000777.XSHE,22300.0,21.09,21.45
2025-10-10,605020.XSHG,25900.0,30.21,30.63
2025-10-13,600172.XSHG,27700.0,5.31,5.52
2025-10-14,002701.XSHE,50500.0,6.38,6.37
2025-10-14,002957.XSHE,17800.0,20.8,20.4
2025-10-14,603130.XSHG,8000.0,46.01,48.4
2025-10-14,601126.XSHG,16000.0,23.93,22.62
2025-10-15,002957.XSHE,17800.0,20.8,20.65
2025-10-15,002885.XSHE,2200.0,21.46,23.87
2025-10-15,002298.XSHE,3600.0,14.04,13.77
2025-10-15,600234.XSHG,4200.0,11.59,12.36
2025-10-16,002885.XSHE,2200.0,21.46,26.26
2025-10-16,603626.XSHG,40200.0,13.29,13.28
2025-10-16,002208.XSHE,50900.0,10.9,11.81
2025-10-17,002208.XSHE,50900.0,10.9,12.99
2025-10-17,003033.XSHE,5800.0,78.64,73.75
2025-10-20,002004.XSHE,99200.0,5.1,4.92
2025-10-20,600748.XSHG,11200.0,6.01,6.67
2025-10-21,002004.XSHE,99200.0,5.1,4.91
2025-10-21,600748.XSHG,11200.0,6.01,7.34
2025-10-21,000905.XSHE,35300.0,9.79,10.04
