hook_id,date,time,code,side,order_id,query_ordinal,key_query_ordinal,sequence_index,computed_amount_before_override,override_amount,final_order_amount,final_fill_amount,profile,effective_hit,would_have_hit
execution.fill_amount_anomalies,20200617,09:30,002137.XSHE,buy,183,94,1,0,18700,,,18700.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200617,09:30,002402.XSHE,buy,182,93,1,0,23100,,,23100.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200617,09:30,600268.XSHG,buy,185,96,1,0,17300,,,17300.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200617,09:30,603185.XSHG,buy,184,95,1,0,3600,,,3600.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200618,09:30,600315.XSHG,buy,188,98,1,0,10900,,,10900.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200618,09:30,600812.XSHG,buy,187,97,1,0,37000,,,37000.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200619,09:30,600211.XSHG,buy,193,99,1,0,11900,,,11900.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200622,09:30,002686.XSHE,buy,199,103,1,0,31300,,,31300.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200622,09:30,002891.XSHE,buy,198,102,1,0,4000,,,4000.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200622,09:30,600198.XSHG,buy,197,101,1,0,11100,,,11100.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200622,09:30,601788.XSHG,buy,196,100,1,0,44500,,,44500.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200623,09:30,600884.XSHG,buy,202,105,1,0,29300,,,29300.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200623,09:30,603608.XSHG,buy,201,104,1,0,26200,,,26200.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200624,09:30,002532.XSHE,buy,207,107,1,0,61300,,,61300.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200624,09:30,601999.XSHG,buy,206,106,1,0,63900,,,63900.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200630,09:30,002025.XSHE,buy,215,110,1,0,16100,,,16100.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200630,09:30,600966.XSHG,buy,214,109,1,0,58500,,,58500.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200630,09:30,601908.XSHG,buy,213,108,1,0,134400,,,134400.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200702,09:30,000006.XSHE,buy,219,111,1,0,70300,,,70300.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200702,09:30,000700.XSHE,buy,221,113,1,0,50800,,,50800.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200702,09:30,002184.XSHE,buy,220,112,1,0,29500,,,29500.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200702,09:30,603960.XSHG,buy,222,114,1,0,14000,,,14000.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200706,09:30,000800.XSHE,buy,226,116,1,0,34800,,,34800.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200706,09:30,600223.XSHG,buy,225,115,1,0,39100,,,39100.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200708,09:30,002371.XSHE,buy,234,120,1,0,2400,,,2400.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200708,09:30,002930.XSHE,buy,233,119,1,0,28600,,,28600.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200708,09:30,600515.XSHG,buy,231,117,1,0,56800,,,56800.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200708,09:30,600859.XSHG,buy,232,118,1,0,6900,,,6900.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200710,09:30,002626.XSHE,buy,239,121,1,0,34200,,,34200.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200710,09:30,300663.XSHE,buy,240,122,1,0,27700,,,27700.0,local_native_l1b,False,False
execution.fill_amount_anomalies,20200714,09:30,002661.XSHE,buy,243,124,1,0,21600,,,21600.0,local_native_l1b,False,False
