date,code,list_rank,bought,open_gap,candidate_relative_to_cohort,candidate_relative_to_market,sector_l1,sector_limit_up_count,sector_first_board_count,candidate_return_to_close,candidate_prev_is_limit_up,candidate_prev_is_first_board,candidate_prev_board_height,candidate_prev_return,T1_emotion_state_v1,T1_emotion_heat,T1_emotion_momentum,T1_emotion_stress,sector_broken_board_rate,sector_advance_ratio,sector_mean_return,sector_max_board_height,open_gap_rank,candidate_relative_to_cohort_rank,candidate_relative_to_market_rank,sector_limit_up_count_rank,composite_score,composite_rank
2024-02-21,001266.XSHE,5,False,0.0019786006,0.0009545753709971905,0.009968523,环保,2.0,1.0,0.01540282,True,True,1.0,0.10013065487146378,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.0,0.6929133858267716,0.014468434266746044,3.0,22.0,22.0,22.0,41.0,-0.49310153669635476,40.0
2024-02-21,002021.XSHE,6,False,0.011904822,0.010880796238780022,0.019894745,钢铁,4.0,2.0,-0.017647112,True,True,1.0,0.04999995231628418,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2,0.7291666666666666,0.01799795590341091,3.0,15.0,15.0,15.0,38.0,-0.14852997037895535,24.0
2024-02-21,002086.XSHE,7,False,-0.01652891,-0.0175529345870018,-0.0085389875,农林牧渔,2.0,1.0,0.008403352,True,True,1.0,0.05217396840453148,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.3333333333333333,0.6956521739130435,0.016039280220866203,2.0,36.0,36.0,36.0,41.0,-0.8948828423766632,48.0
2024-02-21,002087.XSHE,8,False,0.04901968,0.04799565300345421,0.0570096,社会服务,0.0,0.0,0.0,True,True,1.0,0.05154634267091751,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.0,0.6463414634146342,0.009377836249768734,0.0,5.0,5.0,5.0,47.0,0.3990354756184997,13.0
2024-02-21,002194.XSHE,9,True,-0.039953012,-0.04097703844308853,-0.031963088,计算机,8.0,2.0,0.020807842,True,True,1.0,0.09948326647281647,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2,0.6871508379888268,0.013012334704399109,3.0,46.0,46.0,46.0,29.0,-1.0161521166238157,49.0
2024-02-21,002200.XSHE,10,False,0.015942048,0.01491802278906107,0.02393197,基础化工,14.0,6.0,0.018544884,True,True,1.0,0.0502282977104187,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.2222222222222222,0.647450110864745,0.01286393590271473,4.0,12.0,12.0,12.0,10.0,0.5845259718278214,9.0
2024-02-21,002235.XSHE,11,False,-0.048507504,-0.04953153058886528,-0.040517583,机械设备,18.0,6.0,0.04117648,True,True,1.0,0.10061606764793396,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.18181818181818182,0.6876190476190476,0.013882322236895561,3.0,48.0,48.0,48.0,1.0,-0.5564509939495371,43.0
2024-02-21,002251.XSHE,12,False,0.050541554,0.04951752722263336,0.058531478,医药生物,10.0,6.0,0.0,True,True,1.0,0.049242373555898666,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.375,0.6477987421383647,0.013625879772007465,4.0,4.0,4.0,4.0,21.0,1.0774854048595213,4.0
2024-02-21,002256.XSHE,13,False,-0.02790706,-0.028931085020303726,-0.019917138,医药生物,10.0,6.0,0.023923537,True,True,1.0,0.10256412625312805,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.375,0.6477987421383647,0.013625879772007465,4.0,44.0,44.0,44.0,21.0,-0.6255630976815143,44.0
2024-02-21,002309.XSHE,14,False,0.051546343,0.05052231624722481,0.059536263,电力设备,12.0,5.0,0.0,True,True,1.0,0.048648666590452194,RECESSION,0.7975555555555555,-0.05355555555555558,0.02,0.14285714285714285,0.6493150684931507,0.012980897910892963,3.0,3.0,3.0,3.0,16.0,1.228380753772349,3.0
